[09:16:45] [main/INFO]: Loading for game Minecraft 1.16.1
[09:16:46] [main/INFO]: [FabricLoader] Loading 2 mods: minecraft@1.16.1, fabricloader@0.8.9+build.203
[09:16:46] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8 Source=file:/Users/Ty/github/EndoliaIndustries/Fabric/fabric-server-launch.jar Service=Knot/Fabric Env=SERVER
[09:17:00] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[09:17:01] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[09:17:01] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[09:17:01] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[09:17:01] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[09:17:02] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[09:17:02] [main/INFO]: Reloading ResourceManager: Default
[09:17:03] [Worker-Main-4/INFO]: Loaded 7 recipes
[09:17:04] [Worker-Main-4/INFO]: Loaded 927 advancements
[09:17:14] [Server thread/INFO]: Starting minecraft server version 1.16.1
[09:17:14] [Server thread/INFO]: Loading properties
[09:17:14] [Server thread/INFO]: Default game type: SURVIVAL
[09:17:14] [Server thread/INFO]: Generating keypair
[09:17:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:17:15] [Server thread/INFO]: Using default channel type
[09:17:16] [Server thread/INFO]: Preparing level "world"
[09:17:17] [Server thread/WARN]: Unable to find spawn biome
[09:17:44] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[09:17:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:45] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:45] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:45] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:46] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:46] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:47] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[09:17:47] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[09:17:48] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:48] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:49] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[09:17:49] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:50] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:50] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:51] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:51] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:52] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:52] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[09:17:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:17:55] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[09:17:55] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[09:17:56] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[09:17:56] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[09:17:57] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[09:17:57] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[09:17:58] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[09:17:58] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[09:17:59] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[09:17:59] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[09:18:00] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[09:18:01] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[09:18:01] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[09:18:01] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:02] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[09:18:02] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[09:18:03] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:03] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:04] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:04] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:05] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[09:18:05] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[09:18:06] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[09:18:06] [Worker-Main-5/INFO]: Preparing spawn area: 4%
